plate,road,speed
TK9048KY,R48,67.7
DJ7754GZ,R48,69.2
NJ3399HA,R48,63.9
QB4367OI,R48,64.7
LQ6868GJ,R48,65.9
TH6116JK,R48,65.2
FG7956FG,R48,64.8
WY3665VH,R48,63.2
ID4628SL,R48,69.5
NP7837BZ,R48,67.4
YP8274NW,R48,64.3
KE2972YR,R48,69.7
IZ2443CR,R48,66.9
QJ9162VF,R48,68.3
SG4968XV,R48,63.1
MN3517LY,R48,69.3
FD3836AZ,R48,71.5
QS3900YK,R48,64.4
WI6494QA,R48,66.0
XE9047FJ,R48,61.1
YL1849KB,R48,66.1
FG1408SI,R48,74.2
VI9050FZ,R48,67.3
OT8613BB,R48,71.5
TM8791SM,R48,69.1
KR3696HR,R48,69.9
MR6164VT,R48,66.3
TX5750OY,R48,68.0
AX6342DW,R48,68.3
XR1393PO,R48,64.3
UC4721SU,R48,64.5
LA5830MH,R48,68.6
CB1974UE,R48,66.4
SH7632BK,R48,65.9
VX6277MY,R48,65.0
XT6676GZ,R48,70.0
HH6341PR,R48,68.2
RV7753CS,R48,67.9
CZ2529LL,R48,60.9
WL9354BU,R48,69.6
DC2665RD,R48,68.8
ME7123HN,R48,63.4
FC8339OW,R48,65.5
CI9914OD,R48,69.3
WD8015CC,R48,64.6
PK2299UD,R48,64.8
HP7518QU,R48,68.1
KA5777ID,R48,68.0
BQ2557UE,R48,65.4
SI1806JD,R48,61.7
AR2395OJ,R48,67.2
SP8807XQ,R48,67.3
ZC9266EI,R48,67.3
KJ9796WG,R48,68.1
UA3296CB,R48,65.0
FZ5909ZW,R48,66.3
XQ3301UQ,R48,65.1
YH7573XQ,R48,67.8
SC1091TU,R48,67.3
AL6200HV,R48,67.7
NG8870AS,R48,71.8
BE6674OI,R48,63.9
RL9432BG,R48,68.2
TD6739XN,R48,67.0
KW9876UT,R48,69.1
QX4570TG,R48,65.7
FL9698FP,R48,69.1
ZF4793KD,R48,67.9
MZ5465DX,R48,67.5
ZG7590AY,R48,69.7
ZO5015FK,R48,66.2
KT9298XQ,R48,67.2
QD8351VC,R48,69.5
EN5508DZ,R48,68.5
HG8106ZA,R48,65.2
LM7424ZT,R48,70.1
JC7959HM,R48,71.2
GT1010NC,R48,63.4
AP5190CE,R48,68.0
XJ7161YP,R48,65.1
AP4637HR,R48,68.8
OV9524SN,R48,62.7
FK3395AT,R48,66.8
HL2629IN,R48,68.0
PR8631ZA,R48,65.0
YE2797CX,R48,71.4
AX3294FH,R48,66.8
XW1558ZN,R48,62.1
OC3833VZ,R48,69.0
GU3903KX,R48,66.0
WR2482OK,R48,66.4
HD5877ZR,R48,70.0
VP3234QF,R48,68.4
ZX5958QG,R48,67.9
DG2865NA,R48,69.5
JH8753ZE,R48,63.3
XN8951BL,R48,65.9
DI3752CP,R48,69.6
ZQ7819DL,R48,68.1
EC8114XY,R48,69.0
EQ7582XG,R48,69.9
AE5851IO,R48,67.7
EV6475GX,R48,67.5
UU9833HG,R48,61.5
TC3446TD,R48,68.9
SY4376US,R48,69.4
KM3049LH,R48,64.8
PN7382LD,R48,69.7
NA3900VQ,R48,65.2
UX9299EU,R48,69.5
KL6287VC,R48,69.9
BQ7163VS,R48,69.0
VV1411LO,R48,68.9
MJ5563KR,R48,63.0
FP4313OP,R48,66.8
XA4231UU,R48,68.3
AU5683VZ,R48,67.8
YQ8795DZ,R48,65.9
PV8201VU,R48,68.8
QH5660MF,R48,69.1
BD2791BU,R48,64.9
VT9545VM,R48,69.3
XY2493LF,R48,69.8
ZG6232GA,R48,65.0
DA1142XB,R48,69.0
EO9664ZN,R48,67.9
II4758YD,R48,69.6
XK8930TM,R48,69.9
GW3162EM,R48,68.4
VR8169NC,R48,63.0
LI7503UT,R48,67.5
RB6226UX,R48,62.5
GO7627YK,R48,64.2
PK7387YK,R48,62.3
DB5449OT,R48,68.0
OI5402OS,R48,63.4
YB8946ZW,R48,69.3
GA5001EY,R48,66.2
IS7535CI,R48,68.0
NV6506JI,R48,71.3
WN3781OH,R48,63.8
MU2838YX,R48,67.0
IX9237FQ,R48,68.1
FV9768CF,R48,68.7
HD3191OQ,R48,69.3
LB5792TH,R48,69.9
IX8528EZ,R48,69.3
TQ3085FL,R48,65.5
YA5709WD,R48,68.3
UU5309DB,R48,67.9
QI9782XM,R48,64.9
SZ3925UG,R48,68.6
TA6126FB,R48,69.9
HK3807CZ,R48,68.7
XB3279TP,R48,64.7
MU2620NX,R48,66.5
FD8268EH,R48,65.2
UG9440AS,R48,67.3
IM2416GL,R48,69.2
UO2439HO,R48,69.8
MV6671SH,R48,63.7
ZR7388DL,R48,71.5
LD2378HB,R48,65.5
EQ6585WO,R48,63.6
XH4503RI,R48,68.4
NG4530OD,R48,67.4
VI5023QL,R48,64.7
VS4588BJ,R48,69.5
QQ6452LN,R48,69.6
TA9193RD,R48,67.7
GN8750ND,R48,67.5
TL3407YB,R48,69.2
GJ4683EZ,R48,65.3
FR4443DM,R48,69.0
IM7599EP,R48,67.0
ZS9781RA,R48,64.0
IF7562EZ,R48,73.3
BS6271NC,R48,74.3
JV3207GL,R48,69.1
RI6382AP,R48,69.7
BT4473EA,R48,64.4
ML9895OE,R48,67.1
LL7493WB,R48,69.6
IE8038JJ,R48,69.0
FL4964OB,R48,64.2
SB1305CO,R48,67.2
HT3494SO,R48,63.9
KV4012AF,R48,68.7
FQ6341KR,R48,67.8
ZN9735JW,R48,68.2
IZ6582IU,R48,65.5
JM3889MA,R48,64.4
UT5915KQ,R48,71.4
QW7934TQ,R48,68.4
DQ2542MF,R48,69.9
YO4633IJ,R48,67.9
KF7555WV,R48,68.0
EW1621LI,R48,64.4
HN1433TB,R48,68.8
FQ3705BA,R48,66.6
ZR8240KK,R48,66.7
XW5612CC,R48,64.7
ZA9387KS,R48,69.6
WT7960UW,R48,70.0
PX8222JA,R48,64.4
VL7584GV,R48,64.4
RM2210MY,R48,68.8
RV3512RY,R48,65.7
TH9879YY,R48,64.7
XU6408XJ,R48,69.0
EZ3562IN,R48,65.6
UU8767DJ,R48,68.8
JP6033BQ,R48,71.7
MH7445BG,R48,70.0
UR3796GL,R48,63.7
HS7265UI,R48,68.3
WK3917BG,R48,63.7
BF2577GQ,R48,68.2
RT7963NG,R48,66.2
EB1113FH,R48,68.3
JA8335JI,R48,65.0
QE4086ZD,R48,66.6
ZV8759SF,R48,69.9
LB5142ZN,R48,69.0
YJ6721ZJ,R48,68.9
RA3387AV,R48,67.2
ZN3426EC,R48,65.4
ML4107AW,R48,68.7
AW7952MA,R48,69.5
LV1605VQ,R48,63.7
OB9034NH,R48,69.6
RC6758XC,R48,65.5
CL7010BH,R48,64.5
HV5695HX,R48,70.6
CB2767QN,R48,65.2
AT6001TJ,R48,67.9
VQ2158ME,R48,67.2
NT5689KU,R48,68.4
JY7176XO,R48,68.3
UU2989WS,R48,69.3
DI6157NM,R48,64.0
YE9449TX,R48,64.1
ZO1046HD,R48,67.2
VA9332WH,R48,69.8
II4195TM,R48,68.5
YY5858SN,R48,64.5
WP1149XI,R48,63.9
XQ3353LQ,R48,68.8
WC1436RV,R48,69.8
TT8617AV,R48,69.8
AE2916KC,R48,69.7
PF7987UI,R48,69.3
ND6513RE,R48,67.9
XD2111MN,R48,68.0
IN7181PL,R48,67.0
YM7156YP,R48,69.0
AP8526AQ,R48,68.1
EC1419RQ,R48,62.7
WD7756EQ,R48,67.5
LN7642KE,R48,68.8
SQ1584KL,R48,68.0
WM8518VQ,R48,64.8
IM9832BD,R48,64.4
BR3428HA,R48,67.4
MK5795TL,R48,68.8
QL5159AS,R48,64.0
PT3259TT,R48,69.9
DA8594QN,R48,72.1
TP9072KI,R48,66.0
SR6810DR,R48,69.5
DC6119FN,R48,66.9
MI1356JB,R48,69.9
ML8237GC,R48,70.9
BF4991CP,R48,60.1
VQ7111UF,R48,69.9
DL3042FG,R48,70.6
BJ1672MT,R48,67.2
MS8581CZ,R48,67.3
KE3162FH,R48,67.4
KF1802DI,R48,69.7
JD4902IK,R48,66.2
HB4709TU,R48,64.4
SZ6510JK,R48,63.8
OP4419LR,R48,63.7
PI2705SC,R48,65.7
HD8194QW,R48,67.4
HH3542LI,R48,67.1
PK1251CO,R48,69.0
TG4346EE,R48,66.8
SF7102PY,R48,69.9
YG1639FM,R48,68.3
MY4307ZF,R48,64.5
TP2399MJ,R48,66.6
YI9304MT,R48,68.6
QF3695NB,R48,69.3
DO9487HZ,R48,69.2
MM5955IV,R48,66.1
HR2011UW,R48,65.6
KB1466FO,R48,63.6
MR2136KF,R48,67.6
EZ8885IO,R48,68.7
SS9988LI,R48,63.1
RM6983AE,R48,69.5
FW5130MR,R48,65.4
MX8451XY,R48,68.8
DO3692TR,R48,65.7
TG9431ON,R48,67.8
TU3138YX,R48,69.9
CR2530CJ,R48,66.0
FN9966IS,R48,64.9
DG7127KH,R48,67.0
UN4150OT,R48,66.7
ZE8119VZ,R48,59.9
CY8528UO,R48,67.7
RI8134PL,R48,66.0
MN8226DC,R48,65.5
ZI4540TI,R48,67.4
OH1663GB,R48,65.6
CQ3018PM,R48,69.5
YC9176ZE,R48,64.4
MH7204BI,R48,68.6
IM4545DH,R48,60.6
AX8092PJ,R48,66.6
XS1774HN,R48,71.2
EA5495FB,R48,67.8
EL9784KY,R48,70.1
EG8372AL,R48,60.9
YY9383YE,R48,66.5
FT1313DX,R48,63.2
ZX8244ZK,R48,71.2
JZ6285LP,R48,67.3
JH3023YY,R48,65.6
IP3561XW,R48,67.3
YS5804QC,R48,68.8
GB8372LV,R48,68.0
DZ7446TT,R48,67.0
LO3024FC,R48,68.6
NS6136TU,R48,65.5
KA3926LW,R48,67.7
VS6364JW,R48,64.4
VV2656BR,R48,68.7
KT4801BA,R48,64.2
FM8656TT,R48,68.4
ND1832VS,R48,75.9
US4579YT,R48,68.2
EW7634PA,R48,66.6
XP5076CV,R48,68.2
MI3580EO,R48,65.9
HB5174UD,R48,71.9
NM3488AC,R48,66.8
SD1656UY,R48,69.2
ZY2693YP,R48,67.8
JH2371ZQ,R48,69.7
IE8648UN,R48,67.9
YJ6552CQ,R48,67.0
GD3823CV,R48,69.3
GU2936VV,R48,66.8
LH3420QU,R48,68.8
ZQ1737BU,R48,65.5
IV4553LK,R48,68.7
IG9238FU,R48,69.7
FU8851VM,R48,66.9
XS2515AC,R48,73.5
DF3704IL,R48,66.1
OB9687GC,R48,66.2
VR8982ZB,R48,69.4
AB7893VQ,R48,66.3
WY6884TX,R48,67.2
NH6917VX,R48,65.7
MM5380BM,R48,63.2
XE7602TB,R48,67.0
VK8057OX,R48,65.4
XF8018FT,R48,60.0
MO7364XU,R48,67.3
EP4796PC,R48,70.7
ZB7595YF,R48,66.6
FG9374KP,R48,69.7
BS1876NW,R48,67.6
NK7575TH,R48,61.2
JB7441FU,R48,68.8
UX4283BZ,R48,69.7
QR9024GI,R48,69.2
FA4532JH,R48,63.5
MI2408TY,R48,69.2
QS1586CW,R48,69.7
LW3342DC,R48,63.2
AO8897DR,R48,61.3
BH5589IE,R48,69.8
SB1362LA,R48,69.6
NV1557QT,R48,68.3
QG9097NX,R48,62.4
ZB9611AE,R48,69.6
GL1006OX,R48,67.2
EU6681HR,R48,63.7
YI5532BP,R48,67.8
WB4108MR,R48,68.5
WL4146RO,R48,69.4
EH9425EW,R48,69.6
OD2651UO,R48,68.5
PM1287JJ,R48,66.3
JI9781CJ,R48,69.6
BI9913MS,R48,63.3
OC2736SC,R48,68.1
ZS9328GM,R48,66.1
CR2175QM,R48,67.4
MZ7924EM,R48,65.0
LB8268UF,R48,69.5
LX4782OY,R48,67.2
GK9107LM,R48,62.0
SY8001XW,R48,65.0
IA7798PZ,R48,66.6
XA7391EY,R48,69.5
DB3811TR,R48,65.4
XC7855OI,R48,64.7
JT5419WU,R48,67.6
US9721ZO,R48,65.5
RT2983XA,R48,69.4
SV4762ZS,R48,63.7
QN2013GX,R48,68.6
NF3969IN,R48,60.3
AC5832QD,R48,65.5
AQ1858VT,R48,67.6
FK9638LV,R48,69.1
QS8688BX,R48,68.5
CP3715CB,R48,67.0
YL2946LY,R48,67.5
NY4531VI,R48,62.9
LP2471JX,R48,66.8
IX1980ER,R48,67.2
NI5091OI,R48,64.8
ZT6400XZ,R48,69.7
SO2704YW,R48,70.0
VE9951DC,R48,68.9
BZ1363XB,R48,63.9
VC8910GF,R48,69.7
TY5300DO,R48,68.8
QZ5499NK,R48,67.7
RT2669TP,R48,62.4
YO1252IK,R48,63.5
LX1888UL,R48,59.6
GB7137AG,R48,59.7
ES8666DD,R48,68.7
YV4125JC,R48,67.8
MV3835RY,R48,67.9
MA1433WN,R48,66.0
OT3898RH,R48,64.1
GJ4407FC,R48,65.9
PX8503TN,R48,59.7
FB6560MU,R48,68.8
WG8671OM,R48,65.4
BV7172EM,R48,68.9
SS6960LM,R48,66.9
NX7322UW,R48,69.5
HF9096EI,R48,66.6
YI3312ZJ,R48,67.8
KP5220ED,R48,69.5
DF9109CM,R48,68.9
HA5442AQ,R48,64.7
GI3677IB,R48,67.2
EH9142PY,R48,69.4
WV1434JA,R48,67.6
WY7948ED,R48,68.9
BF2642GR,R48,66.7
QO3513YR,R48,61.2
YX6281YQ,R48,67.9
FL2556ZZ,R48,68.0
XN1400DS,R48,69.9
UE8327FV,R48,69.5
MD2498YA,R48,67.5
VQ3684FG,R48,68.6
IJ4251QM,R48,67.8
FA3116JL,R48,67.6
IC6130WR,R48,69.5
IO5691DK,R48,69.7
JE9741OX,R48,69.4
DB3206BB,R48,64.5
ON9511AY,R48,67.0
VO1783ZQ,R48,67.2
EU8853ZD,R48,65.6
MV6534UW,R48,69.8
EI5956HL,R48,63.2
DU2714WA,R48,69.2
GU9104QC,R48,68.1
ZR3012LB,R48,69.4
XG7957TJ,R48,65.7
EM2185LH,R48,69.4
RY6346RF,R48,68.0
RH5296CI,R48,62.1
UR5125TJ,R48,67.3
PZ8957LF,R48,67.4
GT9117EY,R48,68.2
KM1977IE,R48,69.5
QG5307YG,R48,67.0
YN5345LB,R48,65.5
DH4387QK,R48,68.1
ON6266EQ,R48,63.0
JZ8110VU,R48,64.1
HS1039QJ,R48,68.4
YQ4848AM,R48,67.2
QA2856GS,R48,63.9
TR8466OI,R48,67.5
VH2357AH,R48,63.5
KD1214MB,R48,68.2
ZZ2678SN,R48,63.0
KT6810LO,R48,68.6
XA4943OE,R48,62.0
SQ8661PV,R48,67.1
IU6555US,R48,65.5
EF6549LO,R48,61.9
PG3849VT,R48,71.2
QB5651UB,R48,65.2
UC4720HK,R48,69.0
SR3442HY,R48,70.4
VB2973OJ,R48,67.8
KS5442QF,R48,67.1
DN9620HO,R48,64.6
OS9904LE,R48,66.6
IP7369HG,R48,67.9
SF6107XC,R48,60.7
VS5316AF,R48,66.9
VD2205PA,R48,67.8
ZZ9459TC,R48,61.4
QZ4513ZZ,R48,67.2
HW9742XG,R48,68.4
ZS9573BG,R48,64.1
CI6591NE,R48,67.5
QY5561DZ,R48,69.5
FQ3253KK,R48,68.2
WB2320PC,R48,68.1
HL2442TA,R48,68.1
CV8529NA,R48,69.0
FP3629CD,R48,66.8
GW6558XW,R48,65.9
ED3110PT,R48,65.9
GH7094WR,R48,67.0
FJ5012XE,R48,69.6
JR5537DD,R48,64.8
XE1708VZ,R48,69.5
OK3889HF,R48,68.2
VO2910WQ,R48,65.8
FX7485ZR,R48,70.0
PA9597DR,R48,66.8
SC1953PG,R48,67.0
ZB4225XP,R48,65.3
XN6218IW,R48,69.8
MC2285UR,R48,68.6
RJ2073ZF,R48,66.0
LG5297OS,R48,63.4
ZO5840PF,R48,67.7
CF8400XV,R48,69.9
HJ3082QR,R48,64.7
MS5378BP,R48,69.4
IU5368DW,R48,66.3
DQ8311ZI,R48,68.2
YI3953AC,R48,64.2
LR7289LG,R48,68.0
EK7698RA,R48,67.5
RH7425FY,R48,63.9
NR7226QT,R48,65.9
QE6676LB,R48,64.1
WO8976QS,R48,68.7
JE7555QL,R48,64.2
WP7789DW,R48,63.5
FW1517KZ,R48,65.6
NV2237XJ,R48,68.9
SW4756XT,R48,65.0
ZR2016QM,R48,67.0
JS9538QG,R48,63.7
GT3800EJ,R48,64.3
OW4368CO,R48,69.3
BB8413HN,R48,65.0
IK9035VL,R48,67.3
RJ1250GV,R48,69.5
EP3587UT,R48,69.0
XG6021UH,R48,69.6
MD6528HZ,R48,67.2
BP4168VE,R48,63.0
HL7357XC,R48,68.5
ML2643CF,R48,70.3
SO1133YZ,R48,65.5
HW8170TC,R48,67.5
EB2039IB,R48,69.7
ZC7368OZ,R48,67.8
RL7127AL,R48,67.5
UE8768NK,R48,69.1
DB2828WX,R48,68.1
MB2228WX,R48,69.5
MU9016GE,R48,68.9
UJ3040YE,R48,65.0
GF4773PP,R48,63.4
ZW5147ZW,R48,66.3
ZE6608XU,R48,59.7
LH6301FV,R48,68.5
PR5859WQ,R48,67.7
IU9505FQ,R48,69.2
CU3520JU,R48,68.8
YX4349FX,R48,68.2
YH8329XS,R48,67.5
CK9469SG,R48,63.0
FI1173CS,R48,69.1
DY1093NQ,R48,68.6
HT2958PH,R48,66.4
YD4224UW,R48,65.7
GV5334BC,R48,66.4
HP8304JC,R48,69.7
NJ8242CU,R48,70.7
QW9244OP,R48,68.6
EP6903KZ,R48,70.1
DD6085YF,R48,69.5
RB3139RR,R48,59.8
FL5952YE,R48,62.9
VJ8871GQ,R48,68.7
VR4361DM,R48,68.6
SG7897WT,R48,67.6
QZ9856CC,R48,63.7
ZE1967ZI,R48,63.1
UM1823KT,R48,68.1
TT5905NI,R48,69.5
YT6298LQ,R48,69.7
WK7247QB,R48,69.2
HM8353FX,R48,68.5
YC5804CX,R48,68.7
MY6918AQ,R48,64.5
ZN5114WN,R48,69.1
IM4100HQ,R48,72.0
QF6912PM,R48,69.7
II3067XF,R48,66.6
WU9063TB,R48,67.1
RT7441HH,R48,68.9
MO4514BZ,R48,70.2
GD1968CG,R48,66.5
TI8179ZQ,R48,67.6
XS3413ZP,R48,69.6
TO8673FW,R48,70.0
VI8239NZ,R48,68.6
JK1978VO,R48,67.9
UK9100MG,R48,69.3
FU5959UR,R48,68.0
ZO9141JY,R48,69.3
TP4620CR,R48,66.3
SR9079JU,R48,68.9
RC8713YH,R48,64.0
TM4239JN,R48,66.5
AH5499VT,R48,68.1
HR7548SS,R48,65.5
NY6774SG,R48,67.6
ZO9061VN,R48,64.5
RD1317WG,R48,68.8
BK8451HD,R48,62.6
VV6287HI,R48,67.1
DY1669CY,R48,66.0
QQ2200RM,R48,64.7
FH8292CZ,R48,66.0
ON9998LR,R48,69.5
KI2339WV,R48,67.9
MH5238CP,R48,69.8
XV6687KS,R48,68.1
TB8924WO,R48,68.3
FV1616OZ,R48,69.8
RM8609KG,R48,67.3
OS1842EE,R48,63.6
PG4756UN,R48,68.4
SY9974EM,R48,62.1
DD9150BO,R48,65.6
BD9318HY,R48,69.1
FJ8025WV,R48,61.4
VA9185OC,R48,69.0
KQ4893YT,R48,68.4
CE8014BA,R48,68.6
TC2766KW,R48,68.6
TC9526TA,R48,70.2
GB8617ZP,R48,69.7
JG3477HA,R48,67.0
UF8443PJ,R48,63.8
ZT6328OW,R48,66.5
CF4278OG,R48,65.7
JT8234KF,R48,69.0
CI8634KW,R48,67.4
HO4684XV,R48,68.2
CY5951VB,R48,66.2
QB8307MB,R48,66.9
JM1645IC,R48,64.2
UU5675VU,R48,67.6
PI7245GL,R48,62.1
NZ2553CU,R48,68.9
UI5571IY,R48,64.6
YE9251HG,R48,67.9
YY1028WH,R48,66.5
SG7639VR,R48,69.5
GX3701DZ,R48,65.2
VC4112FE,R48,68.6
JD4523MY,R48,67.5
LL5149IH,R48,70.2
UU3349WL,R48,63.6
CW1972RN,R48,63.7
CB3599XF,R48,68.5
YQ4490CV,R48,69.3
LU2899CF,R48,65.6
YB3997IM,R48,66.5
WP6484JN,R48,59.4
YU9261XQ,R48,67.3
YK8128JL,R48,63.3
EL3988BW,R48,63.1
JX8635TQ,R48,69.6
XA4941SD,R48,67.2
NN9815KM,R48,65.5
FR9467WI,R48,68.9
LD7036FD,R48,69.9
UL9347WV,R48,68.9
GR7788MM,R48,69.2
PF2040ZE,R48,65.6
OG8889JD,R48,68.9
XX8572ZC,R48,62.6
CI5766YH,R48,65.3
QS8483OV,R48,68.5
RL1660PT,R48,68.6
LV8229SJ,R48,66.5
DV7524ZD,R48,69.0
QM1189HG,R48,67.1
NB5052HE,R48,69.2
YT8237FP,R48,63.4
SW9446HM,R48,71.0
LH6852NW,R48,69.4
PM8210YN,R48,66.5
ZL1345BF,R48,69.8
YZ9465BM,R48,68.8
TS6551ZI,R48,66.9
MX7972NL,R48,60.6
KN8877MY,R48,63.4
WX6562YA,R48,62.5
SK2119UC,R48,68.4
WY2482YL,R48,69.0
EA1950CF,R48,68.7
QX2969YA,R48,69.6
MJ1893AS,R48,67.4
HY1300YF,R48,68.1
FQ9219BS,R48,68.4
FT6868TG,R48,69.4
EO3233MH,R48,67.2
XR2068ET,R48,63.5
BG8218MU,R48,63.9
QX6326VD,R48,65.2
KL5383TY,R48,68.5
GE7849LQ,R48,69.8
WH1794SN,R48,66.2
WZ9591SX,R48,67.9
DU2511CA,R48,65.3
TX7495UU,R48,68.4
QC5458KV,R48,69.0
GR5828LH,R48,66.0
PG7076EW,R48,67.7
NY8450NQ,R48,69.0
CP8234AO,R48,64.2
AW3930WB,R48,63.5
FW5445UR,R48,66.9
WF9104ZG,R48,65.9
UN5361NG,R48,69.4
RF5543QP,R48,62.7
XQ6177WU,R48,69.7
UO5078CG,R48,69.8
SB7822MH,R48,66.4
RM2049CS,R48,65.7
LC2721XG,R48,67.2
BK9446UD,R48,63.8
SO9398FC,R48,69.2
AD4164ID,R48,69.8
WD7003CS,R48,70.0
ER4609UA,R48,69.6
AK7376EZ,R48,69.8
FX8103UZ,R48,63.6
VL6502NT,R48,67.9
OE8461NT,R48,69.8
NC8436BS,R90,98.4
XE4624FT,R90,96.5
DL6134DY,R90,97.5
PF4182FR,R90,98.0
CS1980LC,R90,91.8
GO5584NZ,R90,96.9
WH7422RN,R90,96.7
AL5572MR,R90,97.0
KY1860PG,R90,95.1
QA6925FC,R90,95.2
VP6905GR,R90,103.3
US9494QV,R90,103.0
DA1801HC,R90,96.6
UP7919WZ,R90,93.0
OQ5328AK,R90,92.0
GF4266PK,R90,95.9
YD5127GI,R90,93.5
ZL8504LD,R90,96.2
CA5196ST,R90,99.2
FE4676EA,R90,99.4
YS4197WL,R90,96.4
SL4856FO,R90,98.5
SU4746JY,R90,96.9
QA4992SI,R90,95.0
UO1966YR,R90,93.9
GF8480KG,R90,95.9
DX4279HG,R90,99.3
RO4887WU,R90,97.7
SW7035MQ,R90,93.3
BK3916PC,R90,98.6
KG4598UN,R90,98.4
NM5325PJ,R90,94.8
IL9497CT,R90,98.5
LI6342WY,R90,97.5
TZ8552SZ,R90,98.6
ZH6533LX,R90,96.7
PS3452EA,R90,99.3
NV5398YN,R90,95.0
QC5047NF,R90,97.5
ZL5650YG,R90,97.7
AV5134VQ,R90,93.6
HN8617TE,R90,95.3
QR8028EB,R90,97.3
NK1513VA,R90,96.0
XV8649ES,R90,94.0
JN1439UK,R90,101.3
KS6054AG,R90,92.7
JM4269ZQ,R90,98.8
KE5891DA,R90,90.8
VF5989NG,R90,98.2
YU9268VU,R90,94.8
QW3128YO,R90,98.5
KG6719TZ,R90,92.5
RC1742KR,R90,96.3
EZ9090UW,R90,95.9
WN9844OU,R90,93.0
II4643NW,R90,102.0
XP7672TH,R90,93.9
LL9841LT,R90,98.8
HI3696CS,R90,95.0
QS2203ML,R90,98.4
KD6054KI,R90,98.8
DM3094XP,R90,99.5
AI8739LF,R90,97.5
IF8575GD,R90,92.1
VX4721MB,R90,97.2
TV2177JA,R90,99.3
QB3704FS,R90,99.9
BQ5376AD,R90,97.4
DP3625SD,R90,90.7
PF2898SL,R90,99.4
KI8227ZP,R90,99.1
WG2932RM,R90,96.8
AT9252KG,R90,99.0
BT3957NF,R90,96.1
RZ8310QA,R90,98.1
ML2670EE,R90,96.4
YI5885PL,R90,95.4
VZ8731PW,R90,97.2
VG9038UG,R90,100.8
RA2940WW,R90,95.9
FQ6538QY,R90,97.9
QW9581WQ,R90,98.4
YN1934UC,R90,91.4
QZ6744JD,R90,97.7
RF6745UK,R90,92.6
CE3042XM,R90,96.1
PW3887FA,R90,93.7
MX2879TE,R90,99.4
IJ5699ST,R90,105.6
LU3412QO,R90,99.4
HF6614WV,R90,92.2
SD5607LO,R90,98.1
AB6600ST,R90,97.3
OV5282VW,R90,98.5
NF7127UX,R90,98.2
ZT8434JP,R90,94.1
IB3493HI,R90,98.0
LE6967CW,R90,97.7
XD4631AQ,R90,99.0
VL7379XP,R90,99.7
DH5583RG,R90,92.2
VH5900AM,R90,86.9
OD1077BU,R90,89.6
HX4685MA,R90,98.3
GU9365VX,R90,98.4
IS3556GS,R90,94.5
FS7337PE,R90,97.3
VE9466UZ,R90,96.4
KB3048JJ,R90,98.6
FH9203ZY,R90,97.7
SD4028MP,R90,95.0
YK1297LN,R90,98.4
GL6241GV,R90,96.4
KL1307VQ,R90,94.9
ZS9113OV,R90,96.3
IO8043CL,R90,92.9
JJ4167UF,R90,98.6
WO9215FM,R90,91.0
BU2063RO,R90,97.8
KL6954BY,R90,99.2
RB9309EG,R90,91.2
QW9208YP,R90,96.9
YQ9540AT,R90,99.5
HT1221NV,R90,99.3
VK5763KR,R90,95.8
EN9849LK,R90,99.5
PK3041ZP,R90,96.8
NB2394WN,R90,103.0
DV6883BZ,R90,101.6
XQ1709CW,R90,97.9
QW1709OS,R90,96.1
RG9088DT,R90,93.2
UQ9372TX,R90,95.5
BB9261ZO,R90,97.6
EC8481BJ,R90,99.7
YI7029LF,R90,94.3
GH1544GF,R90,98.7
CR1886RP,R90,93.9
BX6483AX,R90,99.1
EC3235YT,R90,97.1
KR2006HV,R90,94.7
ND4200AH,R90,97.9
CN9815HG,R90,96.3
YL1004BZ,R90,95.8
EU2567KX,R90,91.1
GS5818TX,R90,104.2
EX3695IS,R90,98.8
SN6225HF,R90,94.5
MG6187WK,R90,91.1
QY9907WX,R90,106.9
TN3439TW,R90,97.3
NW4862MK,R90,98.0
NV4721BT,R90,94.8
ZC3725NR,R90,95.5
HG3187JH,R90,91.8
WU2824KY,R90,100.0
IQ2508TV,R90,96.0
RR6190LG,R90,98.8
JD6496EE,R90,98.2
SV2819WH,R90,98.4
QF3979DM,R90,95.2
ZJ4214UJ,R90,97.9
QM1229DO,R90,99.7
XW2442VC,R90,97.4
OF8923WE,R90,98.9
TO9399RZ,R90,96.6
XI3945KH,R90,94.2
EN1560UI,R90,98.2
JG7668WV,R90,96.8
WL2690QV,R90,98.7
HJ4629OJ,R90,98.9
BR4651WV,R90,98.5
OF5596DM,R90,99.3
QW3816HW,R90,96.2
OG6383XM,R90,94.6
II6942VB,R90,96.0
BA9092YG,R90,99.1
UO3672JT,R90,95.8
FU6624VE,R90,95.8
EH5799OB,R90,102.0
IP7487XU,R90,92.7
KM1458DJ,R90,99.0
LL4007FV,R90,89.9
TF9610QE,R90,96.8
BB7695PQ,R90,102.3
MT1549GU,R90,98.2
SL4375RQ,R90,95.5
JA8293AN,R90,98.4
WN9590OP,R90,95.0
BK5565EF,R90,98.7
AP6257HU,R90,98.6
HB5072CV,R90,92.0
BA2120IV,R90,91.1
NA9534UP,R90,99.8
WJ5639WF,R90,91.1
EC4709WX,R90,89.4
CR2746WP,R90,92.7
GG6705ZF,R90,86.5
BG6307IJ,R90,92.1
EE7634SI,R90,98.6
LQ3914BL,R90,93.9
EN5121UH,R90,107.1
XH4432WQ,R90,95.4
PB9112LJ,R90,96.2
PC8238YB,R90,96.4
